"MAKEID","MODELID","ODSMAKEID","ODSMODELID"
"20000074","20000830","20074","22027"
"20000074","20000839","20074","22036"
"20000074","20001020","20074","22219"
"20000074","20001068","20074","22267"
"20000074","20001081","20074","22280"
"20000074","20001088","20074","22287"
"20000074","20001089","20074","22288"
"20000074","20001137","20074","22336"
"20000074","20001646","20074","20703"
"20000074","20001664","20074","20721"
"20000074","20001723","20074","20780"
"20000074","20001771","20074","20829"
"20000074","20001775","20074","20833"
"20000074","20001781","20074","20839"
"20000074","20001828","20074","20886"
"20000074","20001844","20074","20902"
"20000074","20001859","20074","20917"
"20000074","20002163","20074","21223"
"20000074","20002342","20074","27662"
"20000075","20000639","20075","21834"
"20000075","20001797","20075","20855"
"20000075","20001799","20075","20857"
"20000075","20001814","20075","20872"
"20000075","20001816","20075","20874"
